ERROR:root:libgtop2 libgtop2-0:2.28.4-7.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-XML-SAX-Base perl-XML-SAX-Base-0:1.08-7.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:wqy-zenhei-fonts wqy-zenhei-fonts-0:0.9.46-11.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:python python-0:2.7.5-18.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:vino vino-0:3.8.1-10.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:iotop iotop-0:0.6-2.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:python-linux-procfs python-linux-procfs-0:0.4.6-2.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:zenity zenity-0:3.8.0-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:openssl openssl-1:1.0.1e-42.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:compat-db compat-db-0:4.7.25-28.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:python-schedutils python-schedutils-0:0.4-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:hunspell-it hunspell-it-0:2.4-0.10.20070901.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:ipa-pmincho-fonts ipa-pmincho-fonts-0:003.03-5.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:mobile-broadband-provider-info mobile-broadband-provider-info-0:1.20120614-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:fcoe-utils fcoe-utils-0:1.0.29-9.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:libtirpc libtirpc-0:0.2.4-0.5.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:gjs gjs-0:1.36.1-2.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-B-Lint perl-B-Lint-0:1.17-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:avahi avahi-0:0.6.31-14.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:sgpio sgpio-0:1.2.0.10-13.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:irqbalance irqbalance-2:1.0.7-1.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:okular okular-0:4.10.5-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:python-gudev python-gudev-0:147.2-7.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:setroubleshoot-plugins setroubleshoot-plugins-0:3.0.59-1.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:vemana2000-fonts vemana2000-fonts-0:1.1.3-6.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:diffstat diffstat-0:1.57-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:hunspell-ku hunspell-ku-0:0.21-11.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-Time-HiRes perl-Time-HiRes-4:1.9725-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:dos2unix dos2unix-0:6.0.3-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:libpciaccess libpciaccess-0:0.13.1-4.1.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:xmlsec1 xmlsec1-0:1.2.20-5.ael7b.src No repo found.
ERROR:root:rdma rdma-0:7.1_3.17-6.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
